Ticker,Region,Sector
ABK,US,Financials
ACE,US,Financials
ACGL,US,Financials
ACN,US,Information Technology
ADI,US,Information Technology
ADP,US,Information Technology
AFG,US,Financials
AFL,US,Financials
AGM,US,Financials
AGO,US,Financials
AIG,US,Financials
AIZ,US,Financials
ALL,US,Financials
ALLY,US,Financials
AMAT,US,Information Technology
AMD,US,Information Technology
AMG,US,Financials
AMKR,US,Information Technology
AMP,US,Financials
AMT,US,Financials
AON,US,Financials
ARI,US,Financials
ARW,US,Information Technology
AV,US,Financials
AVB,US,Financials
AVGO,US,Information Technology
AVT,US,Information Technology
AWH,US,Financials
AXP,US,Financials
AXS,US,Financials
BAC,US,Financials
BAM,US,Financials
BBT,US,Financials
BDN,US,Financials
BEN,US,Financials
BK,US,Financials
BLK,US,Financials
BPOP,US,Financials
BR,US,Information Technology
BRK/B,US,Financials
BXP,US,Financials
C,US,Financials
CA,US,Information Technology
CB,US,Financials
CDNS,US,Information Technology
CIEN,US,Information Technology
CIT,US,Financials
CLI,US,Financials
CNA,US,Financials
COF,US,Financials
CPT,US,Financials
CSC,US,Information Technology
CSCO,US,Information Technology
CVG,US,Information Technology
DDR,US,Financials
DFS,US,Financials
DOX,US,Information Technology
DRE,US,Financials
DRL,US,Financials
DST,US,Information Technology
ELX,US,Information Technology
EMC,US,Information Technology
ENH,US,Financials
EQC,US,Financials
EQIX,US,Information Technology
EQR,US,Financials
EQY,US,Financials
ESS,US,Financials
ETFC,US,Financials
FAF,US,Financials
FCH,US,Financials
FCS,US,Information Technology
FDC,US,Information Technology
FFH,US,Financials
FISV,US,Information Technology
FITB,US,Financials
FNF,US,Financials
FNM,US,Financials
FR,US,Financials
FRE,US,Financials
FRT,US,Financials
FSL,US,Information Technology
GGP,US,Financials
GLW,US,Information Technology
GNW,US,Financials
GOOGL,US,Information Technology
GS,US,Financials
HCC,US,Financials
HCN,US,Financials
HCP,US,Financials
HIG,US,Financials
HIW,US,Financials
HMN,US,Financials
HPQ,US,Information Technology
HPT,US,Financials
HR,US,Financials
HRP,US,Financials
HRS,US,Information Technology
HST,US,Financials
IACI,US,Information Technology
IBM,US,Information Technology
IDCBY,US,Financials
INTC,US,Information Technology
INTU,US,Information Technology
IVZ,US,Financials
JBL,US,Information Technology
JDSU,US,Information Technology
JNPR,US,Information Technology
JNS,US,Financials
JPM,US,Financials
KEY,US,Financials
KIM,US,Financials
L,US,Financials
LEHMQ,US,Financials
LM,US,Financials
LNC,US,Financials
LPT,US,Financials
LUK,US,Financials
LXK,US,Information Technology
MBI,US,Financials
MET,US,Financials
MKL,US,Financials
MMC,US,Financials
MS,US,Financials
MSFT,US,Information Technology
MSI,US,Information Technology
MTG,US,Financials
MU,US,Information Technology
NNN,US,Financials
NRC,US,Financials
NSM,US,Financials
OHI,US,Financials
ONNN,US,Information Technology
ORCL,US,Information Technology
PAY,US,Information Technology
PCH,US,Financials
PFG,US,Financials
PGR,US,Financials
PHH,US,Financials
PLD,US,Financials
PMI,US,Financials
PNC,US,Financials
PNX,US,Financials
PRU,US,Financials
RDN,US,Financials
RE,US,Financials
RF,US,Financials
RGA,US,Financials
RLGY,US,Financials
RNR,US,Financials
RYN,US,Financials
SANM,US,Information Technology
SCHW,US,Financials
SLM,US,Financials
SNDK,US,Information Technology
SPY,US,ETF
STAR,US,Financials
STI,US,Financials
STT,US,Financials
STX,US,Information Technology
TEL,US,Information Technology
TMK,US,Financials
TRV,US,Financials
TSG,US,Information Technology
TXN,US,Information Technology
UDR,US,Financials
UIS,US,Information Technology
UNM,US,Financials
USB,US,Financials
UTR,US,Financials
VNO,US,Financials
VRNT,US,Information Technology
VTR,US,Financials
WFC,US,Financials
WRB,US,Financials
WRE,US,Financials
WRI,US,Financials
WSH,US,Financials
WTM,US,Financials
WU,US,Information Technology
WY,US,Financials
XL,US,Financials
XRX,US,Information Technology
YHOO,US,Information Technology
